,date,target,insult,tweet
2737,6/27/2017,cnn,got caught falsely pushing their phony Russian stories,Fake News CNN is looking at big management changes now that they got caught falsely pushing their phony Russian stories. Ratings way down!
2738,6/27/2017,cnn,Ratings way down!,Fake News CNN is looking at big management changes now that they got caught falsely pushing their phony Russian stories. Ratings way down!
2739,6/27/2017,cnn,Fake News,"So they caught Fake News CNN cold, but what about NBC, CBS & ABC? What about the failing @nytimes & @washingtonpost? They are all Fake News!"
2740,6/27/2017,the-new-york-times,Fake News,"So they caught Fake News CNN cold, but what about NBC, CBS & ABC? What about the failing @nytimes & @washingtonpost? They are all Fake News!"
2741,6/27/2017,the-new-york-times,failing,"So they caught Fake News CNN cold, but what about NBC, CBS & ABC? What about the failing @nytimes & @washingtonpost? They are all Fake News!"
2742,6/28/2017,washington-post,the guardian of Amazon not paying internet taxes,"The #AmazonWashingtonPost, sometimes referred to as the guardian of Amazon not paying internet taxes (which they should) is FAKE NEWS!"
2743,6/28/2017,washington-post,FAKE NEWS!,"The #AmazonWashingtonPost, sometimes referred to as the guardian of Amazon not paying internet taxes (which they should) is FAKE NEWS!"
2744,6/28/2017,democrats,purposely misstated Medicaid,Democrats purposely misstated Medicaid under new Senate bill - actually goes up. https://t.co/necCt4K6UH
2745,6/28/2017,the-new-york-times,failing,The failing @nytimes writes false story after false story about me. They don't even call to verify the facts of a story. A Fake News Joke!
2746,6/28/2017,the-new-york-times,writes false story after false story about me,The failing @nytimes writes false story after false story about me. They don't even call to verify the facts of a story. A Fake News Joke!
2747,6/28/2017,the-new-york-times,don't even call to verify the facts of a story,The failing @nytimes writes false story after false story about me. They don't even call to verify the facts of a story. A Fake News Joke!
2748,6/28/2017,the-new-york-times,A Fake News Joke!,The failing @nytimes writes false story after false story about me. They don't even call to verify the facts of a story. A Fake News Joke!
2749,6/28/2017,the-media,Fake News,"Some of the Fake News Media likes to say that I am not totally engaged in healthcare. Wrong, I know the subject well & want victory for U.S."
2750,6/28/2017,the-media,likes to say that I am not totally engaged in healthcare,"Some of the Fake News Media likes to say that I am not totally engaged in healthcare. Wrong, I know the subject well & want victory for U.S."
2751,6/28/2017,the-media,Wrong,"Some of the Fake News Media likes to say that I am not totally engaged in healthcare. Wrong, I know the subject well & want victory for U.S."
2752,6/29/2017,mika-brzezinski,low I.Q.,"I heard poorly rated @Morning_Joe speaks badly of me (don't watch anymore). Then how come low I.Q. Crazy Mika, along with Psycho Joe, came.."
2753,6/29/2017,mika-brzezinski,Crazy,"I heard poorly rated @Morning_Joe speaks badly of me (don't watch anymore). Then how come low I.Q. Crazy Mika, along with Psycho Joe, came.."
2754,6/29/2017,mika-brzezinski,was bleeding badly from a face-lift,"...to Mar-a-Lago 3 nights in a row around New Year's Eve, and insisted on joining me. She was bleeding badly from a face-lift. I said no!"
2755,6/29/2017,joe-scarborough,Psycho Joe,"I heard poorly rated @Morning_Joe speaks badly of me (don't watch anymore). Then how come low I.Q. Crazy Mika, along with Psycho Joe, came.."
2756,6/29/2017,morning-joe,poorly rated,"I heard poorly rated @Morning_Joe speaks badly of me (don't watch anymore). Then how come low I.Q. Crazy Mika, along with Psycho Joe, came.."
2757,6/29/2017,morning-joe,don't watch anymore,"I heard poorly rated @Morning_Joe speaks badly of me (don't watch anymore). Then how come low I.Q. Crazy Mika, along with Psycho Joe, came.."
2758,6/30/2017,joe-scarborough,He called me to stop a National Enquirer article. I said no!,Watched low rated @Morning_Joe for first time in long time. FAKE NEWS. He called me to stop a National Enquirer article. I said no! Bad show
2759,6/30/2017,morning-joe,low rated,Watched low rated @Morning_Joe for first time in long time. FAKE NEWS. He called me to stop a National Enquirer article. I said no! Bad show
2760,6/30/2017,morning-joe,"FAKE NEWS, Bad show",Watched low rated @Morning_Joe for first time in long time. FAKE NEWS. He called me to stop a National Enquirer article. I said no! Bad show
2761,7/1/2017,states-refusing-to-give-voter-panel-info,What are they trying to hide?,Numerous states are refusing to give information to the very distinguished VOTER FRAUD PANEL. What are they trying to hide?
2762,7/1/2017,comcast-executives,out of control,Word is that @Greta Van Susteren was let go by her out of control bosses at @NBC & @Comcast because she refused to go along w/ 'Trump hate!'
2763,7/1/2017,nbc-executives,out of control,Word is that @Greta Van Susteren was let go by her out of control bosses at @NBC & @Comcast because she refused to go along w/ 'Trump hate!'
2764,7/1/2017,mika-brzezinski,dumb as a rock,"Crazy Joe Scarborough and dumb as a rock Mika are not bad people, but their low rated show is dominated by their NBC bosses. Too bad!"
2765,7/1/2017,joe-scarborough,Crazy,"Crazy Joe Scarborough and dumb as a rock Mika are not bad people, but their low rated show is dominated by their NBC bosses. Too bad!"
2766,7/1/2017,morning-joe,low rated,"Crazy Joe Scarborough and dumb as a rock Mika are not bad people, but their low rated show is dominated by their NBC bosses. Too bad!"
2767,7/1/2017,cnn,I am extremely pleased to see that @CNN has finally been exposed as #FakeNews and garbage journalism. It's about time!,I am extremely pleased to see that @CNN has finally been exposed as #FakeNews and garbage journalism. It's about time!
2768,7/1/2017,cnn,"#FakeNews, #FraudNewsCNN",I am thinking about changing the name #FakeNews CNN to #FraudNewsCNN!
2769,7/1/2017,the-media,FAKE,"The FAKE & FRAUDULENT NEWS MEDIA is working hard to convince Republicans and others I should not use social media - but remember, I won...."
2770,7/1/2017,the-media,FRAUDULENT,"The FAKE & FRAUDULENT NEWS MEDIA is working hard to convince Republicans and others I should not use social media - but remember, I won...."
2771,7/1/2017,the-media,working hard to convince Republicans and others I should not use social media,"The FAKE & FRAUDULENT NEWS MEDIA is working hard to convince Republicans and others I should not use social media - but remember, I won...."
2772,7/1/2017,the-media,#FakeNews,"....the 2016 election with interviews, speeches and social media. I had to beat #FakeNews, and did. We will continue to WIN!"
2773,7/2/2017,cnn,#FraudNewsCNN,#FraudNewsCNN #FNN https://t.co/WYUnHjjUjg
2774,7/2/2017,cnn,#FNN,#FraudNewsCNN #FNN https://t.co/WYUnHjjUjg
